,1m,1w
FYBR,1.5859758391883207,-0.0821089032359364
GBDC,6.01172781660256,2.3354559167256723
GDRX,0.0,-7.88912326321726
GDS,24.816093794783875,-8.420295341841614
GEHC,12.245473641712561,0.7207726397627046
GEN,19.16735191533259,12.184708319252112
GFS,7.601300178752577,1.3935339607454054
GH,1.4098245981029993,-5.2894394022988465
GILD,-4.428005716177048,-5.738735567153219
GLBE,10.614037974083484,3.928572102281671
GLNG,13.417189649980099,-4.920920936643657
GLPI,0.0,1.2087147344302227
GMAB,7.4958376697008084,-10.162406980241284
GNTX,6.014311578270393,2.7289464492924504
GO,1.3370836022043904,-11.65643992307885
GOGL,9.19708209068524,-4.955525694494852
GOGO,54.71167079377827,46.666666666666664
GOOG,-0.6371823810822044,-7.028002381492142
GOOGL,-0.045810313351329957,-6.978872325263364
GRAB,23.42569420793595,0.8230444599618197
GRAL,54.75928539963879,2.7437317205454637
GT,19.867540327737636,-1.6304375525157955
GTLB,14.378781691476547,8.09146952993753
GTX,33.256622357573015,3.7634415953091525
HALO,14.159448657910845,8.660514528540977
HAS,20.627451877967985,0.5393068123238103
HBAN,18.07602685529047,1.3315566123152747
HIMX,23.577232305368064,1.3333320617675781
HLIT,3.416858768324152,1.6797269138203101
HLMN,2.5132282891341235,5.013548507066817
HOLX,-0.7172845495216913,7.6237445337804
HON,10.155643751814244,-0.569428807796091
HOOD,34.90497109408554,13.735696969018546
HSAI,29.944403590723894,-8.857939192240545
HSIC,7.992444786969628,3.09401847693088
HST,9.814131354776992,0.13559632382150422
HTHT,18.133251141112392,3.925911129466845
HTZ,62.318840746634876,8.387096724574695
HUT,18.414329798640562,8.855800111062697
IAC,7.867135160105024,4.724192519739844
IBB,3.0846719839109733,-7.333547840595241
IBKR,12.957220413401657,3.3752996791778713
IBRX,-15.853662555141565,-1.428570131055293
ICLR,-6.085244470641219,-6.334776456399735
IDYA,10.462901525903051,-14.899850216754759
IEF,0.65759379162308,-0.19041606632835725
ILMN,6.314902982176703,-3.0830191750884106
IMVT,-5.206217079617104,-7.88436128916965
INCY,6.905929852714097,-5.039447814131196
INOD,-6.381829744632938,-10.496384026004637
INSM,0.4166089841568512,-10.33342492530909
INTC,7.746483805525267,5.6734069687196715
INTR,40.51383821970489,7.0783174168581615
INTU,13.23186279048432,3.4325686447594177
IONS,20.778732412188408,-4.1307671361521505
IQ,12.574852906797249,-4.081634763179803
IRDM,9.523814413000615,2.6387283395290706
IREN,28.233155835253708,13.731823857433856
ISRG,9.599203670238833,0.8818777738361838
JANX,-4.875330600579133,-14.199400200018697
JAZZ,-4.184227481399754,-17.268807209161213
JBHT,1.2097294770730256,1.7627033900645044
JBLU,32.24932354382786,4.496788751952786
JD,-4.83417968574101,-0.5872012767923392
KC,7.826092922107951,-14.213832260559665
KDP,-3.4820117538781474,-2.6415089325369974
KHC,-2.6699044857479923,-1.8188193598753892
KTOS,5.991805678762301,-6.326645457602586
LBTYA,-12.48817155094696,-3.5453612844431555
LBTYK,-12.752288424720708,-2.661209996927158
LCID,-0.3968250213867144,6.3559365269099315
LEGN,1.5984654380569336,-4.850301692286431
LFST,-15.361890174048382,-13.444106976905667
LI,19.68538948659147,5.465343210956838
LIN,4.811521381948529,0.0375728593789033
LINE,-12.63883978271859,3.0261973566593863
LION,11.076919849102314,5.7101005979803325
LITE,19.093081132383087,2.691158187293489
LIVN,29.05683116869186,21.44432981192322
LKQ,-2.4568283172833345,1.6218940813414122
LNT,3.4254295904963157,1.262496510699822
LNTH,-17.02365638899239,-24.30080077551613
LNW,4.353952728038695,-12.751609708281855
LQDA,23.16384024239183,-5.334991101603817
LRCX,13.44272205953914,1.9618412615308007
LSCC,17.662400922328313,-5.394582664403929
LULU,9.02111851647131,0.4379828663320159
LUNR,17.85713764390872,2.099442832916369
LX,16.535562369134965,-5.690075714349381
LYFT,52.33302061890931,26.136362569062822
LZ,23.360649196838832,22.857140818188995
MAR,15.72313087190783,4.327252300465897
MARA,34.241912573570616,20.397250154088706
MAT,16.723082171985762,6.419746661727968
MBLY,23.484844489312092,12.027484696804654
MCHP,42.56634855244481,15.80159741450064
MDB,10.825565811221034,3.226171574736789
MDLZ,0.5910872534192648,-2.1091448979495384
MDXG,2.769680080503457,6.4954730001398815
META,8.457049198277398,-1.1313813599716454
MGNI,55.03080838097625,24.177636274257914
MKSI,24.610843265461728,7.492952517239132
MLCO,24.016560367190287,10.313074778694423
MNKD,-1.72413633637985,-8.064517989739157
MNST,5.5911364317849,0.14775923955566136
MQ,19.79166686069221,21.05263058828844
MRNA,-1.0204081632653061,-12.895115419940753
MRVL,12.952100517891587,-3.759274013497923
MRX,26.397226348266745,3.778342645801568
MSFT,15.04654620806194,0.5869265377680294
MSTR,52.76125592038671,7.632007888951481
MTCH,-3.205126855326179,-10.297026437111692
MU,22.56958867926419,6.764489635995716
NBIS,34.36311419977482,18.781518336112345
NBIX,27.546293570889624,5.430523083801965
NCNO,2.6923123007931227,8.000003086047226
NDAQ,12.674247007009276,1.3045103097813147
NEO,-9.550555777841453,2.6785718630076065
NEOG,6.039070494486052,5.851062615568548
NEXT,11.80757911100178,3.648648343876912
NFE,8.777973044830162,14.079426266773003
NFLX,23.779540351602314,0.5431733586502795
NMRK,8.615685865401748,0.8992840152776569
NN,10.067112429400499,0.845500805088765
NTAP,13.575593503479592,0.38672319745814693
NTNX,21.05093063485932,3.6863152805406196
NTRA,6.051087550817369,-3.4502527424710516
NTRS,14.384800483617191,3.5196029982414
NVDA,8.441016879069096,2.4863836220721565
NWL,14.725265304847746,2.352938976529794
NWSA,9.65220515289721,1.2265518073952146
NXPI,15.876568105766752,3.74696298941257
NXT,23.284770637158527,13.180939018555923
NXTT,840.2390502581167,689.2976369947497
OCUL,10.226381132168461,-8.667530072972124
ODD,70.46818102968064,10.7126197424184
ODFL,0.976075776265949,1.312169946757832
OKTA,17.534192833233504,3.232216656608209
ON,17.48852719989527,6.690965126357254
ONB,16.87602535617471,0.991029160830531
OPCH,-5.491239387152837,-2.9564193236905947
OS,33.794872577373795,12.943721739141923
OTEX,9.923040917764538,1.1931383238828783
OXLC,10.828575244434793,2.136760366190573
OZK,19.906935129281774,1.2712857729628975
PAA,1.23952211506895,1.6697616356817861
PAGP,2.0810515868333894,2.9002320570655704
PANW,11.089313561260903,-0.6378632732076662
PARA,9.34065473409342,6.133329603407118
PAYO,6.0800018310546875,-6.7510549938095
PAYX,5.013496330430913,1.4720622235971639
PCAR,2.1291056556445103,1.3527185636097059
PCT,23.141889660527386,8.968608363239007
PCVX,11.126957311035767,-9.101514127734053
